import time: self [us] | cumulative | imported package
import time:       674 |        674 |               torch.nn.init
import time:       583 |        583 |               torch.nn.modules.lazy
import time:       877 |      25304 |             torch.nn.modules.linear
import time:       917 |        917 |             torch.nn.modules.activation
import time:       739 |        739 |               torch.nn.modules.container
import time:       641 |       1380 |             torch.nn.modules.adaptive
import time:        72 |         72 |                             _csv
import time:       955 |       1026 |                           csv
import time:       846 |        846 |                           email
import time:       709 |        709 |                               zipfile._path.glob
import time:      1349 |       2057 |                             zipfile._path
import time:      2128 |       4185 |                           zipfile
import time:       773 |        773 |                               quopri
import time:      1560 |       1560 |                                   calendar
import time:       688 |       2248 |                                 email._parseaddr
import time:       472 |        472 |                                   email.base64mime
import time:       534 |        534 |                                   email.quoprimime
import time:       618 |        618 |                                   email.errors
import time:       491 |        491 |                                   email.encoders
import time:       753 |       2866 |                                 email.charset
import time:       830 |       5944 |                               email.utils
import time:       910 |        910 |                                 email.header
import time:       719 |       1629 |                               email._policybase
import time:       784 |        784 |                               email._encoded_words
import time:       504 |        504 |                               email.iterators
import time:      1115 |      10747 |                             email.message
import time:       426 |        426 |                               importlib.metadata._functools
import time:       526 |        952 |                             importlib.metadata._text
import time:       925 |      12622 |                           importlib.metadata._adapters
import time:       694 |        694 |                           importlib.metadata._meta
import time:       667 |        667 |                           importlib.metadata._collections
import time:       507 |        507 |                           importlib.metadata._itertools
import time:      1007 |       1007 |                                 importlib.resources.abc
import time:       904 |        904 |                                 importlib.resources._adapters
import time:      1181 |       3091 |                               importlib.resources._common
import time:       621 |        621 |                               importlib.resources._legacy
import time:       595 |       4306 |                             importlib.resources
import time:       683 |       4989 |                           importlib.abc
import time:      1465 |      26996 |                         importlib.metadata
import time:       498 |        498 |                                   torch._functorch
import time:       618 |        618 |                                       torch.utils._contextlib
import time:       617 |       1234 |                                     torch.autograd.grad_mode
import time:       962 |       2196 |                                   torch.autograd.forward_ad
import time:      1148 |       3841 |                                 torch._functorch.pyfunctorch
import time:      1159 |       5000 |                               torch._ops
import time:      1224 |       1224 |                               torch._library.utils
import time:      1099 |       7323 |                             torch._library.autograd
import time:       548 |        548 |                             torch._library.fake_impl
import time:       585 |        585 |                               torch._library.effects
import time:       650 |       1234 |                             torch._library.simple_registry
import time:       742 |        742 |                             torch._library.fake_class_registry
import time:       394 |        394 |                               torch.utils._exposed_in
import time:       783 |        783 |                               torch._library.custom_ops
import time:       607 |        607 |                                   torch._opaque_base
import time:      1268 |       1875 |                                 torch._library.opaque_object
import time:      1120 |       2995 |                               torch._library.infer_schema
import time:       630 |       4801 |                             torch._library.triton
import time:       572 |      15217 |                           torch._library
import time:        53 |      15270 |                         torch._library.opaque_object
import time:      8087 |      50352 |                       torch.utils._pytree
import time:       527 |      50879 |                     torch._vmap_internals
import time:       695 |        695 |                     torch.autograd.functional
import time:       605 |        605 |                       torch.autograd.variable
import time:      1602 |       2207 |                     torch.autograd.graph
import time:       524 |        524 |                     torch.autograd.anomaly_mode
import time:       430 |        430 |                           torch._functorch.utils
import time:      9266 |       9266 |                             torch._functorch.predispatch
import time:       563 |       9828 |                           torch._functorch.vmap
import time:       480 |      10736 |                         torch._functorch.apis
import time:      1097 |      11833 |                       torch._functorch.autograd_function
import time:       871 |      12704 |                     torch.autograd.function
import time:       610 |        610 |                         torch.testing._utils
import time:        48 |         48 |                           cmath
import time:       893 |        940 |                         torch.testing._comparison
import time:       500 |        500 |                         torch.testing._creation
import time:       649 |       2697 |                       torch.testing
import time:      1229 |       3926 |                     torch.autograd.gradcheck
import time:      1136 |       1136 |                         _uuid
import time:      1224 |       2359 |                       uuid
import time:       870 |        870 |                       torch.autograd.profiler_util
import time:      1210 |       4438 |                     torch.autograd.profiler
import time:      1558 |      76927 |                   torch.autograd
import time:        19 |      76946 |                 torch.autograd.function
import time:       535 |      77481 |               torch.nn.modules._functions
import time:       709 |      78189 |             torch.nn.modules.batchnorm
import time:       483 |        483 |             torch.nn.modules.channelshuffle
import time:       738 |        738 |               torch.nn.common_types
import time:      1134 |       1872 |             torch.nn.modules.conv
import time:       642 |        642 |             torch.nn.modules.distance
import time:       647 |        647 |             torch.nn.modules.dropout
import time:       528 |        528 |             torch.nn.modules.flatten
import time:       486 |        486 |             torch.nn.modules.fold
import time:       609 |        609 |             torch.nn.modules.instancenorm
import time:       896 |        896 |             torch.nn.modules.loss
