backbone,radius,feather,hq_id,identity,location,missing_pixels,condition,full_face_lpips,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
lama,8,0,22210,4372,eye_center,6554,mixed,0.07871509343385696,0.1222715675830841,14.802577763139631,0.003292972920462489,0.088523730635643,0.05796666815876961,0.100006103515625,0.0200042724609375,0.0200042724609375
lama,8,0,22210,4372,mouth_center,6554,accurate,0.06574491411447525,0.08872566372156143,17.760306738143793,0.0013880435144528747,,,0.100006103515625,0.0,0.0
lama,8,0,22210,4372,mouth_center,6554,under,0.06277228146791458,0.07909148931503296,18.50761201328301,0.0006423827144317329,0.04960961639881134,,0.100006103515625,0.0,0.0200042724609375
lama,8,0,22210,4372,mouth_center,6554,over,0.06773555278778076,0.09850171208381653,17.040339197649125,0.002707710023969412,,0.0487491674721241,0.100006103515625,0.0200042724609375,0.0
lama,8,0,22210,4372,mouth_center,6554,mixed,0.06773555278778076,0.09850171208381653,17.040339197649125,0.002707710023969412,0.07553549855947495,0.0487491674721241,0.100006103515625,0.0200042724609375,0.0200042724609375
lama,8,0,22210,4372,upper_image,6554,accurate,0.07260680198669434,0.1995561718940735,12.083879184036197,0.0033838730305433273,,,0.100006103515625,0.0,0.0
lama,8,0,22210,4372,upper_image,6554,under,0.056997060775756836,0.1516774296760559,13.5975321530297,0.0017774339066818357,0.06756278872489929,,0.100006103515625,0.0,0.0200042724609375
lama,8,0,22210,4372,upper_image,6554,over,0.08499298244714737,0.2457088828086853,10.26471389106468,0.006937392987310886,,0.10014967620372772,0.100006103515625,0.0200042724609375,0.0
lama,8,0,22210,4372,upper_image,6554,mixed,0.08499298244714737,0.2457088828086853,10.26471389106468,0.006937392987310886,0.11360885202884674,0.10014967620372772,0.100006103515625,0.0200042724609375,0.0200042724609375
lama,8,0,25702,4555,eye_center,1966,accurate,0.011119149625301361,0.11481428891420364,15.710642660120014,0.0014578639529645443,,,0.029998779296875,0.0,0.0
lama,8,0,25702,4555,eye_center,1966,under,0.009647535160183907,0.09170439839363098,17.617473995857125,0.0007713590166531503,0.07462693750858307,,0.029998779296875,0.0,0.0059967041015625
lama,8,0,25702,4555,eye_center,1966,over,0.009832881391048431,0.09714221954345703,16.81939152897488,0.001913170563057065,,0.08640246838331223,0.029998779296875,0.0059967041015625,0.0
